,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Loc_ABS_Statistical_Area_4,Loc_Federal_Electorate,Loc_ABS_Remoteness,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Crash_Speed_Limit,Crash_Date
115,2001,January,Wednesday,14,Multi-Vehicle,152.14412969999998,-28.08810631,Darling Downs - Maranoa,Maranoa,Inner regional,0,0,1,0,1,100 - 110 km/h,200101
116,2001,January,Wednesday,15,Single Vehicle,149.71547569999998,-26.37068906,Darling Downs - Maranoa,Maranoa,Remote,0,0,0,1,1,100 - 110 km/h,200101
117,2001,January,Wednesday,21,Single Vehicle,148.87627080000001,-23.56614501,Fitzroy,Flynn,Outer regional,0,0,0,0,0,60 km/h,200101
118,2001,January,Wednesday,16,Multi-Vehicle,150.5156939,-23.35365434,Fitzroy,Capricornia,Inner regional,0,0,0,0,0,60 km/h,200101
119,2001,January,Wednesday,9,Single Vehicle,142.58297969999998,-25.384485199999997,Queensland - Outback,Maranoa,Very remote,0,0,0,0,0,100 - 110 km/h,200101
120,2001,January,Wednesday,12,Multi-Vehicle,147.40506330000002,-19.57602511,Townsville,Dawson,Outer regional,0,0,0,0,0,60 km/h,200101
121,2001,January,Wednesday,3,Single Vehicle,146.4372476,-19.99841029,Townsville,Kennedy,Remote,0,1,0,0,1,100 - 110 km/h,200101
122,2001,January,Wednesday,1,Single Vehicle,145.7413354,-17.01409813,Cairns,Leichhardt,Outer regional,0,0,0,0,0,60 km/h,200101
123,2001,January,Wednesday,6,Single Vehicle,145.5650642,-16.64947476,Cairns,Leichhardt,Outer regional,0,0,0,0,0,80 - 90 km/h,200101
124,2001,January,Wednesday,14,Multi-Vehicle,153.1672037,-27.65596502,Logan - Beaudesert,Rankin,Major cities,0,2,1,0,3,60 km/h,200101
125,2001,January,Thursday,7,Multi-Vehicle,153.03886430000003,-27.45593914,Brisbane Inner City,Brisbane,Major cities,0,0,0,0,0,60 km/h,200101
126,2001,January,Thursday,10,Single Vehicle,153.0361123,-27.54219683,Brisbane - South,Moreton,Major cities,0,0,0,0,0,0 - 50 km/h,200101
127,2001,January,Thursday,16,Single Vehicle,153.08158999999998,-27.56396499,Brisbane - South,Bonner,Major cities,0,0,0,0,0,0 - 50 km/h,200101
128,2001,January,Thursday,15,Multi-Vehicle,153.0308804,-27.38612102,Brisbane - North,Lilley,Major cities,0,0,0,1,1,60 km/h,200101
129,2001,January,Thursday,8,Multi-Vehicle,153.0217579,-27.38473986,Brisbane - North,Petrie,Major cities,0,0,0,0,0,60 km/h,200101
130,2001,January,Thursday,16,Multi-Vehicle,153.2202349,-27.72620704,Logan - Beaudesert,Forde,Major cities,0,0,0,2,2,100 - 110 km/h,200101
131,2001,January,Thursday,20,Hit pedestrian,153.2672809,-27.52803508,Brisbane - East,Bowman,Major cities,0,0,0,1,1,0 - 50 km/h,200101
132,2001,January,Thursday,6,Multi-Vehicle,152.9883704,-27.30171615,Moreton Bay - South,Dickson,Major cities,0,0,0,0,0,60 km/h,200101
133,2001,January,Thursday,5,Multi-Vehicle,152.987664,-27.21199635,Moreton Bay - South,Longman,Major cities,0,0,0,1,1,60 km/h,200101
134,2001,January,Thursday,11,Hit pedestrian,153.1148113,-27.22538996,Moreton Bay - North,Petrie,Major cities,0,0,1,0,1,0 - 50 km/h,200101
135,2001,January,Thursday,8,Multi-Vehicle,153.085824,-27.22382244,Moreton Bay - North,Petrie,Major cities,0,0,1,0,1,60 km/h,200101
136,2001,January,Thursday,16,Single Vehicle,153.120798,-27.60190046,Logan - Beaudesert,Rankin,Major cities,0,0,1,0,1,60 km/h,200101
137,2001,January,Thursday,12,Multi-Vehicle,153.11973030000001,-27.6178295,Logan - Beaudesert,Rankin,Major cities,0,0,3,1,4,70 km/h,200101
138,2001,January,Thursday,17,Multi-Vehicle,152.9684034,-27.15504931,Moreton Bay - North,Longman,Major cities,0,0,1,0,1,60 km/h,200101
139,2001,January,Thursday,11,Single Vehicle,152.78217019999997,-27.60781242,Ipswich,Blair,Major cities,0,0,0,0,0,60 km/h,200101
140,2001,January,Thursday,13,Multi-Vehicle,153.08565280000002,-27.43515748,Brisbane - North,Lilley,Major cities,0,1,0,1,2,60 km/h,200101
141,2001,January,Thursday,7,Single Vehicle,152.802878,-26.49654879,Sunshine Coast,Fairfax,Inner regional,0,0,1,0,1,100 - 110 km/h,200101
142,2001,January,Thursday,10,Single Vehicle,153.005192,-26.690262100000005,Sunshine Coast,Fairfax,Major cities,0,0,0,0,0,100 - 110 km/h,200101
143,2001,January,Thursday,8,Multi-Vehicle,153.0300736,-26.60620606,Sunshine Coast,Fairfax,Major cities,0,0,0,0,0,60 km/h,200101
144,2001,January,Thursday,11,Single Vehicle,153.329634,-28.00380351,Gold Coast,Moncrieff,Major cities,0,1,0,0,1,60 km/h,200101
145,2001,January,Thursday,5,Single Vehicle,152.5952135,-27.56282969,Ipswich,Blair,Inner regional,0,0,0,0,0,60 km/h,200101
146,2001,January,Thursday,14,Multi-Vehicle,152.6509357,-26.16989791,Wide Bay,Wide Bay,Inner regional,0,1,0,0,1,80 - 90 km/h,200101
147,2001,January,Thursday,2,Single Vehicle,152.85323119999998,-25.28791522,Wide Bay,Hinkler,Inner regional,0,0,0,0,0,60 km/h,200101
148,2001,January,Thursday,22,Single Vehicle,151.07794980000003,-24.84128432,Wide Bay,Flynn,Outer regional,0,0,0,0,0,100 - 110 km/h,200101
149,2001,January,Thursday,9,Hit pedestrian,151.934354,-27.56638358,Toowoomba,Groom,Inner regional,1,0,0,0,1,60 km/h,200101
150,2001,January,Thursday,18,Multi-Vehicle,151.9421521,-27.567296000000002,Toowoomba,Groom,Inner regional,0,0,1,0,1,60 km/h,200101
151,2001,January,Thursday,12,Single Vehicle,151.67597609999999,-27.05484173,Darling Downs - Maranoa,Groom,Outer regional,0,2,3,0,5,100 - 110 km/h,200101
152,2001,January,Thursday,9,Multi-Vehicle,151.91878459999998,-28.40813418,Darling Downs - Maranoa,Maranoa,Inner regional,0,0,0,0,0,100 - 110 km/h,200101
153,2001,January,Thursday,15,Single Vehicle,150.692343,-23.16767487,Fitzroy,Capricornia,Inner regional,0,0,0,0,0,100 - 110 km/h,200101
154,2001,January,Thursday,16,Single Vehicle,150.6603436,-22.9237345,Fitzroy,Capricornia,Outer regional,0,1,1,0,2,100 - 110 km/h,200101
155,2001,January,Thursday,23,Multi-Vehicle,146.796005,-19.26363928,Townsville,Herbert,Outer regional,0,0,1,0,1,60 km/h,200101
157,2001,January,Thursday,12,Multi-Vehicle,145.759309,-16.90802953,Cairns,Leichhardt,Outer regional,0,0,0,0,0,60 km/h,200101
158,2001,January,Thursday,11,Multi-Vehicle,145.78686409999997,-17.08848647,Cairns,Kennedy,Outer regional,0,0,0,0,0,60 km/h,200101
159,2001,January,Thursday,12,Multi-Vehicle,153.1853875,-27.67797871,Logan - Beaudesert,Forde,Major cities,0,0,0,0,0,100 - 110 km/h,200101
160,2001,January,Friday,22,Single Vehicle,153.0386698,-27.50166439,Brisbane - South,Griffith,Major cities,0,1,0,0,1,60 km/h,200101
161,2001,January,Friday,14,Multi-Vehicle,152.95861430000002,-27.44633911,Brisbane - West,Ryan,Major cities,0,0,1,0,1,60 km/h,200101
162,2001,January,Friday,18,Multi-Vehicle,152.9874565,-27.4580923,Brisbane Inner City,Brisbane,Major cities,0,1,0,0,1,60 km/h,200101
163,2001,January,Friday,11,Multi-Vehicle,153.02230519999998,-27.53727603,Brisbane - South,Moreton,Major cities,0,0,0,0,0,60 km/h,200101
164,2001,January,Friday,19,Multi-Vehicle,153.0553742,-27.47447417,Brisbane Inner City,Griffith,Major cities,0,0,1,0,1,60 km/h,200101
165,2001,January,Friday,19,Multi-Vehicle,153.18656130000002,-27.45420261,Brisbane - East,Bonner,Major cities,0,0,0,0,0,60 km/h,200101
166,2001,January,Friday,16,Multi-Vehicle,153.1199965,-27.47443535,Brisbane - East,Bonner,Major cities,0,1,0,0,1,60 km/h,200101
167,2001,January,Friday,15,Multi-Vehicle,153.0526064,-27.35211166,Brisbane - North,Lilley,Major cities,0,0,0,1,1,60 km/h,200101
168,2001,January,Friday,20,Single Vehicle,153.0356323,-27.3728401,Brisbane - North,Lilley,Major cities,0,1,0,0,1,60 km/h,200101
169,2001,January,Friday,11,Multi-Vehicle,152.93049,-27.07743783,Moreton Bay - North,Longman,Major cities,0,0,3,3,6,60 km/h,200101
170,2001,January,Friday,16,Multi-Vehicle,153.25589430000002,-27.55537038,Brisbane - East,Bowman,Major cities,0,0,1,0,1,60 km/h,200101
171,2001,January,Friday,20,Single Vehicle,152.8184149,-27.57141239,Ipswich,Blair,Major cities,0,0,0,0,0,0 - 50 km/h,200101
172,2001,January,Friday,9,Multi-Vehicle,152.9660871,-27.26443618,Moreton Bay - South,Dickson,Major cities,0,0,0,0,0,60 km/h,200101
173,2001,January,Friday,13,Multi-Vehicle,152.9815131,-27.28290998,Moreton Bay - South,Dickson,Major cities,0,0,1,0,1,60 km/h,200101
